"","term","Total"
"61745","still hoping",16
"61746","still proud",16
"61747","still sad",16
"61748","stomach virus",16
"61749","stop believing",16
"61750","stop into",16
"61751","stop running",16
"61752","stopping at",16
"61753","story from",16
"61754","story we",16
"61755","straight in",16
"61756","straight like",16
"61757","straight on",16
"61758","strategic planning",16
"61759","strawberries and",16
"61760","streets and",16
"61761","struggle for",16
"61762","student at",16
"61763","student section",16
"61764","students is",16
"61765","students learn",16
"61766","study hard",16
"61767","studying abroad",16
"61768","stuff my",16
"61769","stuffy nose",16
"61770","substance abuse",16
"61771","such fun",16
"61772","sucks being",16
"61773","summer if",16
"61774","summer or",16
"61775","sun at",16
"61776","sunday im",16
"61777","sunday was",16
"61778","sundays are",16
"61779","super exciting",16
"61780","super great",16
"61781","super hard",16
"61782","superbowl commercials",16
"61783","support system",16
"61784","supporting a",16
"61785","surprised they",16
"61786","surprises me",16
"61787","sushi is",16
"61788","swear he",16
"61789","swear we",16
"61790","sweet deal",16
"61791","sweet for",16
"61792","sweet the",16
"61793","sympathy for",16
"61794","symphony orchestra",16
"61795","symptoms of",16
"61796","t you",16
"61797","table on",16
"61798","tag along",16
"61799","tag us",16
"61800","take as",16
"61801","taking our",16
"61802","taking shots",16
"61803","taking so",16
"61804","talk how",16
"61805","talk if",16
"61806","talk later",16
"61807","talk was",16
"61808","tall are",16
"61809","tan lines",16
"61810","tap at",16
"61811","target audience",16
"61812","tattoo shop",16
"61813","tattooed on",16
"61814","tax for",16
"61815","tax rate",16
"61816","teach him",16
"61817","teach kids",16
"61818","teacher for",16
"61819","team effort",16
"61820","teamfollowback i",16
"61821","teams and",16
"61822","teams play",16
"61823","tears to",16
"61824","tech for",16
"61825","tee time",16
"61826","teeth hurt",16
"61827","tell some",16
"61828","telling someone",16
"61829","ten times",16
"61830","tennis in",16
"61831","term is",16
"61832","terrible day",16
"61833","testing for",16
"61834","texas in",16
"61835","th avenue",16
"61836","th one",16
"61837","th please",16
"61838","than getting",16
"61839","than ive",16
"61840","than making",16
"61841","than three",16
"61842","thankfully i",16
"61843","thanking the",16
"61844","thanks ashley",16
"61845","thanks fam",16
"61846","thanks from",16
"61847","thanks hun",16
"61848","thanks michael",16
"61849","thanks sis",16
"61850","thanksgiving and",16
"61851","that almost",16
"61852","that beer",16
"61853","that creates",16
"61854","that ð",16
"61855","that drink",16
"61856","that enough",16
"61857","that exact",16
"61858","that fuck",16
"61859","that half",16
"61860","that happening",16
"61861","that hour",16
"61862","that image",16
"61863","that k",16
"61864","that lost",16
"61865","that mother",16
"61866","that myself",16
"61867","that none",16
"61868","that plus",16
"61869","that puts",16
"61870","that read",16
"61871","that response",16
"61872","that rocks",16
"61873","that see",16
"61874","that set",16
"61875","that single",16
"61876","that stinks",16
"61877","that supposed",16
"61878","that told",16
"61879","that ugly",16
"61880","thats perfect",16
"61881","thats saying",16
"61882","the abc",16
"61883","the advantage",16
"61884","the allstar",16
"61885","the apps",16
"61886","the archive",16
"61887","the assignment",16
"61888","the attic",16
"61889","the august",16
"61890","the australian",16
"61891","the az",16
"61892","the babies",16
"61893","the balcony",16
"61894","the bb",16
"61895","the beaches",16
"61896","the beacon",16
"61897","the billboard",16
"61898","the bloody",16
"61899","the booty",16
"61900","the brim",16
"61901","the bro",16
"61902","the broad",16
"61903","the busy",16
"61904","the care",16
"61905","the cbs",16
"61906","the champagne",16
"61907","the chapter",16
"61908","the chicks",16
"61909","the cinco",16
"61910","the clip",16
"61911","the combination",16
"61912","the confidence",16
"61913","the congrats",16
"61914","the cooler",16
"61915","the couple",16
"61916","the crazies",16
"61917","the crystal",16
"61918","the custom",16
"61919","the dangers",16
"61920","the depths",16
"61921","the donation",16
"61922","the dot",16
"61923","the drinks",16
"61924","the eighth",16
"61925","the epitome",16
"61926","the evolution",16
"61927","the falls",16
"61928","the feds",16
"61929","the ffs",16
"61930","the flavors",16
"61931","the font",16
"61932","the gem",16
"61933","the georgia",16
"61934","the glorious",16
"61935","the glow",16
"61936","the haircut",16
"61937","the harry",16
"61938","the headsup",16
"61939","the hp",16
"61940","the huskies",16
"61941","the hyatt",16
"61942","the icing",16
"61943","the illuminati",16
"61944","the inaugural",16
"61945","the intent",16
"61946","the jet",16
"61947","the jewish",16
"61948","the kickstarter",16
"61949","the leaders",16
"61950","the lease",16
"61951","the legislature",16
"61952","the lemon",16
"61953","the mainstream",16
"61954","the maximum",16
"61955","the md",16
"61956","the measure",16
"61957","the meetup",16
"61958","the megamillions",16
"61959","the messages",16
"61960","the mia",16
"61961","the millions",16
"61962","the mint",16
"61963","the moral",16
"61964","the mr",16
"61965","the murder",16
"61966","the muse",16
"61967","the mysteries",16
"61968","the nasty",16
"61969","the nc",16
"61970","the npr",16
"61971","the nxt",16
"61972","the overhead",16
"61973","the pa",16
"61974","the palms",16
"61975","the passenger",16
"61976","the perspective",16
"61977","the polish",16
"61978","the porn",16
"61979","the preds",16
"61980","the pres",16
"61981","the prices",16
"61982","the producer",16
"61983","the promotion",16
"61984","the prowl",16
"61985","the publisher",16
"61986","the realest",16
"61987","the realm",16
"61988","the renaissance",16
"61989","the rents",16
"61990","the route",16
"61991","the shades",16
"61992","the shame",16
"61993","the sims",16
"61994","the socks",16
"61995","the sotu",16
"61996","the southwest",16
"61997","the speech",16
"61998","the stations",16
"61999","the straw",16
"62000","the suit",16
"62001","the sunny",16
"62002","the sweat",16
"62003","the swedish",16
"62004","the swim",16
"62005","the sxsw",16
"62006","the tap",16
"62007","the teeth",16
"62008","the tequila",16
"62009","the terrace",16
"62010","the thank",16
"62011","the tower",16
"62012","the ustream",16
"62013","the ut",16
"62014","the veil",16
"62015","the victor",16
"62016","the vp",16
"62017","the walmart",16
"62018","the whiskey",16
"62019","the whistle",16
"62020","the wing",16
"62021","the workers",16
"62022","the yearold",16
"62023","theater tonight",16
"62024","their big",16
"62025","their clothes",16
"62026","their final",16
"62027","their mistakes",16
"62028","their right",16
"62029","their spring",16
"62030","them around",16
"62031","them done",16
"62032","them other",16
"62033","them u",16
"62034","them until",16
"62035","themselves on",16
"62036","then change",16
"62037","then not",16
"62038","then tweet",16
"62039","then who",16
"62040","then will",16
"62041","theory of",16
"62042","there about",16
"62043","there ð",16
"62044","there do",16
"62045","there great",16
"62046","there p",16
"62047","there thank",16
"62048","there till",16
"62049","there waiting",16
"62050","there well",16
"62051","there yesterday",16
"62052","theres going",16
"62053","these storms",16
"62054","they belong",16
"62055","they break",16
"62056","they exist",16
"62057","they lack",16
"62058","they paid",16
"62059","they pass",16
"62060","they plan",16
"62061","they ran",16
"62062","they remind",16
"62063","theyd have",16
"62064","theyre amazing",16
"62065","theyre giving",16
"62066","theyre only",16
"62067","theyre saying",16
"62068","thin mints",16
"62069","thing haha",16
"62070","thing missing",16
"62071","thing worse",16
"62072","things ahead",16
"62073","things because",16
"62074","things seem",16
"62075","things turn",16
"62076","think abt",16
"62077","think anything",16
"62078","think hed",16
"62079","think her",16
"62080","think no",16
"62081","think something",16
"62082","thinking my",16
"62083","thinking will",16
"62084","third of",16
"62085","third party",16
"62086","this blog",16
"62087","this building",16
"62088","this contest",16
"62089","this cute",16
"62090","this halloween",16
"62091","this have",16
"62092","this loss",16
"62093","this mothers",16
"62094","this office",16
"62095","this sick",16
"62096","this st",16
"62097","this statement",16
"62098","this straight",16
"62099","this thang",16
"62100","tho thats",16
"62101","those but",16
"62102","those pants",16
"62103","though cause",16
"62104","though maybe",16
"62105","though thanks",16
"62106","though there",16
"62107","thought no",16
"62108","thought today",16
"62109","thought wed",16
"62110","thought what",16
"62111","three new",16
"62112","through christ",16
"62113","through security",16
"62114","through today",16
"62115","throw you",16
"62116","thru and",16
"62117","tht u",16
"62118","thunder in",16
"62119","thx again",16
"62120","tick tick",16
"62121","tick tock",16
"62122","tickets but",16
"62123","tickets this",16
"62124","till graduation",16
"62125","tim thomas",16
"62126","time an",16
"62127","time between",16
"62128","time doing",16
"62129","time happy",16
"62130","time listening",16
"62131","time n",16
"62132","time see",16
"62133","time still",16
"62134","time tho",16
"62135","time time",16
"62136","tinker tailor",16
"62137","tip a",16
"62138","tips or",16
"62139","tired yet",16
"62140","to accompany",16
"62141","to age",16
"62142","to al",16
"62143","to austins",16
"62144","to bid",16
"62145","to blue",16
"62146","to bottom",16
"62147","to bullshit",16
"62148","to celebrating",16
"62149","to coachella",16
"62150","to combine",16
"62151","to customize",16
"62152","to cute",16
"62153","to days",16
"62154","to dougie",16
"62155","to drake",16
"62156","to drugs",16
"62157","to e",16
"62158","to easy",16
"62159","to facilitate",16
"62160","to ff",16
"62161","to finalize",16
"62162","to finishing",16
"62163","to flirt",16
"62164","to fm",16
"62165","to fox",16
"62166","to fully",16
"62167","to gods",16
"62168","to haunt",16
"62169","to hopefully",16
"62170","to human",16
"62171","to id",16
"62172","to import",16
"62173","to internet",16
"62174","to likes",16
"62175","to m",16
"62176","to media",16
"62177","to miller",16
"62178","to mow",16
"62179","to nj",16
"62180","to number",16
"62181","to pronounce",16
"62182","to puerto",16
"62183","to recycle",16
"62184","to reference",16
"62185","to sa",16
"62186","to second",16
"62187","to sfo",16
"62188","to slide",16
"62189","to snuggle",16
"62190","to stalk",16
"62191","to stock",16
"62192","to thats",16
"62193","to times",16
"62194","to toronto",16
"62195","to transform",16
"62196","to voice",16
"62197","to yet",16
"62198","today join",16
"62199","today nice",16
"62200","today remember",16
"62201","today since",16
"62202","today ugh",16
"62203","today via",16
"62204","today yes",16
"62205","today youre",16
"62206","todays sandwich",16
"62207","together before",16
"62208","together haha",16
"62209","together you",16
"62210","tomorrow about",16
"62211","tomorrow any",16
"62212","tomorrow can",16
"62213","tomorrow go",16
"62214","tomorrow gonna",16
"62215","tomorrow love",16
"62216","tomorrow make",16
"62217","tomorrow right",16
"62218","tonight awesome",16
"62219","tonight really",16
"62220","tonight time",16
"62221","tonight weve",16
"62222","tony allen",16
"62223","too also",16
"62224","too even",16
"62225","too follow",16
"62226","too full",16
"62227","too heavy",16
"62228","too oh",16
"62229","too smart",16
"62230","too too",16
"62231","too which",16
"62232","too wish",16
"62233","took this",16
"62234","took your",16
"62235","tool can",16
"62236","top gear",16
"62237","top i",16
"62238","topic i",16
"62239","a ass",15
"62240","a babysitter",15
"62241","a bake",15
"62242","a bass",15
"62243","a belt",15
"62244","a billionaire",15
"62245","a boxing",15
"62246","a brewers",15
"62247","a bronco",15
"62248","a brotha",15
"62249","a cable",15
"62250","a california",15
"62251","a cast",15
"62252","a cent",15
"62253","a channel",15
"62254","a chore",15
"62255","a co",15
"62256","a coat",15
"62257","a comfortable",15
"62258","a committee",15
"62259","a cuban",15
"62260","a deadly",15
"62261","a delightful",15
"62262","a director",15
"62263","a droid",15
"62264","a early",15
"62265","a extra",15
"62266","a fans",15
"62267","a file",15
"62268","a following",15
"62269","a fraction",15
"62270","a garbage",15
"62271","a gop",15
"62272","a gray",15
"62273","a ham",15
"62274","a hawaiian",15
"62275","a helping",15
"62276","a ho",15
"62277","a homemade",15
"62278","a homicide",15
"62279","a jealous",15
"62280","a kentucky",15
"62281","a kit",15
"62282","a kitchen",15
"62283","a laser",15
"62284","a lift",15
"62285","a liquor",15
"62286","a lottery",15
"62287","a magnet",15
"62288","a measure",15
"62289","a menu",15
"62290","a mermaid",15
"62291","a messy",15
"62292","a mic",15
"62293","a mild",15
"62294","a missed",15
"62295","a mug",15
"62296","a naked",15
"62297","a nascar",15
"62298","a neck",15
"62299","a never",15
"62300","a painter",15
"62301","a pattern",15
"62302","a pg",15
"62303","a pigeon",15
"62304","a portfolio",15
"62305","a prank",15
"62306","a previous",15
"62307","a procrastinator",15
"62308","a production",15
"62309","a protein",15
"62310","a psa",15
"62311","a pub",15
"62312","a ref",15
"62313","a rip",15
"62314","a rivalry",15
"62315","a rolling",15
"62316","a scorpio",15
"62317","a shitload",15
"62318","a slap",15
"62319","a spa",15
"62320","a spicy",15
"62321","a spy",15
"62322","a staff",15
"62323","a statue",15
"62324","a stunning",15
"62325","a sugar",15
"62326","a suicide",15
"62327","a tablet",15
"62328","a tape",15
"62329","a task",15
"62330","a tebow",15
"62331","a thrill",15
"62332","a timeout",15
"62333","a toilet",15
"62334","a toll",15
"62335","a tragic",15
"62336","a trainer",15
"62337","a tweetup",15
"62338","a ustream",15
"62339","a valentine",15
"62340","a voicemail",15
"62341","a watermelon",15
"62342","a when",15
"62343","a wig",15
"62344","a wonderfully",15
"62345","a wrench",15
"62346","abdulbahá is",15
"62347","about digital",15
"62348","about future",15
"62349","about k",15
"62350","about keeping",15
"62351","about politics",15
"62352","about super",15
"62353","about which",15
"62354","about work",15
"62355","above my",15
"62356","abuse is",15
"62357","accomplish great",15
"62358","account or",15
"62359","account with",15
"62360","accounts and",15
"62361","acknowledge that",15
"62362","across as",15
"62363","across this",15
"62364","act for",15
"62365","act the",15
"62366","act your",15
"62367","action movie",15
"62368","actors in",15
"62369","actress in",15
"62370","actually dont",15
"62371","actually enjoy",15
"62372","actually looking",15
"62373","actually means",15
"62374","actually used",15
"62375","ad is",15
"62376","adam lambert",15
"62377","add them",15
"62378","adding another",15
"62379","adding new",15
"62380","address at",15
"62381","address please",15
"62382","addressing the",15
"62383","adele i",15
"62384","adjust to",15
"62385","admire your",15
"62386","admit its",15
"62387","admit you",15
"62388","adore the",15
"62389","adventure or",15
"62390","advice about",15
"62391","af lol",15
"62392","affect your",15
"62393","after for",15
"62394","after many",15
"62395","after youve",15
"62396","afternoon everyone",15
"62397","afternoon thanks",15
"62398","again ð",15
"62399","again thats",15
"62400","against him",15
"62401","agree is",15
"62402","agree you",15
"62403","ah no",15
"62404","ah what",15
"62405","ahead with",15
"62406","ahh im",15
"62407","ahh my",15
"62408","aint all",15
"62409","aint always",15
"62410","aint as",15
"62411","aint better",15
"62412","aint get",15
"62413","air it",15
"62414","aka my",15
"62415","alabama and",15
"62416","album but",15
"62417","album so",15
"62418","alert the",15
"62419","alex i",15
"62420","all business",15
"62421","all could",15
"62422","all different",15
"62423","all five",15
"62424","all followers",15
"62425","all games",15
"62426","all hes",15
"62427","all places",15
"62428","all then",15
"62429","all warm",15
"62430","almost feel",15
"62431","almost gone",15
"62432","almost out",15
"62433","alone if",15
"62434","alot but",15
"62435","already my",15
"62436","already tired",15
"62437","also available",15
"62438","also hate",15
"62439","also means",15
"62440","also send",15
"62441","always appreciated",15
"62442","always are",15
"62443","always b",15
"62444","always doing",15
"62445","always hated",15
"62446","always someone",15
"62447","always thinking",15
"62448","always watch",15
"62449","am class",15
"62450","am exhausted",15
"62451","am meeting",15
"62452","am oh",15
"62453","am quite",15
"62454","am saying",15
"62455","am see",15
"62456","am we",15
"62457","amazing artist",15
"62458","amazing follow",15
"62459","amazing grace",15
"62460","amazing keep",15
"62461","amazing my",15
"62462","amazing news",15
"62463","amazing this",15
"62464","america where",15
"62465","america will",15
"62466","american legion",15
"62467","american women",15
"62468","amused by",15
"62469","an agency",15
"62470","an annoying",15
"62471","an ap",15
"62472","an e",15
"62473","an ear",15
"62474","an embarrassing",15
"62475","an endorsement",15
"62476","an ill",15
"62477","an immediate",15
"62478","an indoor",15
"62479","an object",15
"62480","an obvious",15
"62481","an okay",15
"62482","an r",15
"62483","anchor bar",15
"62484","and action",15
"62485","and adam",15
"62486","and al",15
"62487","and angry",15
"62488","and april",15
"62489","and arms",15
"62490","and awkward",15
"62491","and blues",15
"62492","and bob",15
"62493","and center",15
"62494","and charles",15
"62495","and cheaper",15
"62496","and choice",15
"62497","and comfort",15
"62498","and common",15
"62499","and cooking",15
"62500","and courage",15
"62501","and crackers",15
"62502","and da",15
"62503","and date",15
"62504","and delivery",15
"62505","and direct",15
"62506","and double",15
"62507","and earth",15
"62508","and easily",15
"62509","and ed",15
"62510","and enthusiasm",15
"62511","and failure",15
"62512","and favorite",15
"62513","and feet",15
"62514","and force",15
"62515","and fuzzy",15
"62516","and garlic",15
"62517","and grateful",15
"62518","and highly",15
"62519","and honey",15
"62520","and ipad",15
"62521","and jazz",15
"62522","and jimmy",15
"62523","and jumped",15
"62524","and kept",15
"62525","and kim",15
"62526","and lamar",15
"62527","and laughed",15
"62528","and leadership",15
"62529","and lights",15
"62530","and lil",15
"62531","and losing",15
"62532","and mail",15
"62533","and march",15
"62534","and math",15
"62535","and netflix",15
"62536","and percent",15
"62537","and peyton",15
"62538","and pics",15
"62539","and pinterest",15
"62540","and pipa",15
"62541","and players",15
"62542","and police",15
"62543","and posting",15
"62544","and pregnant",15
"62545","and pumpkin",15
"62546","and purple",15
"62547","and quickly",15
"62548","and rachel",15
"62549","and radio",15
"62550","and random",15
"62551","and rangers",15
"62552","and rebounds",15
"62553","and repeat",15
"62554","and request",15
"62555","and rts",15
"62556","and seconds",15
"62557","and shows",15
"62558","and sick",15
"62559","and sitting",15
"62560","and smells",15
"62561","and smoking",15
"62562","and song",15
"62563","and stare",15
"62564","and stopped",15
"62565","and straight",15
"62566","and switch",15
"62567","and t",15
"62568","and tony",15
"62569","and wealth",15
"62570","and weight",15
"62571","and wife",15
"62572","and wind",15
"62573","and womens",15
"62574","and yelled",15
"62575","and youd",15
"62576","anger and",15
"62577","animal crackers",15
"62578","animals are",15
"62579","announced on",15
"62580","announcement today",15
"62581","annoyed when",15
"62582","annoying than",15
"62583","another couple",15
"62584","another sunny",15
"62585","answering the",15
"62586","any followers",15
"62587","any order",15
"62588","any recs",15
"62589","any specials",15
"62590","any specific",15
"62591","any tweets",15
"62592","anyone cares",15
"62593","anyone coming",15
"62594","anyone hear",15
"62595","anyone there",15
"62596","anything even",15
"62597","anyway you",15
"62598","apart i",15
"62599","apologize in",15
"62600","apparently he",15
"62601","appeal of",15
"62602","apple products",15
"62603","apply now",15
"62604","appointment today",15
"62605","appreciate this",15
"62606","appreciation of",15
"62607","appreciative of",15
"62608","approaching the",15
"62609","arcade fire",15
"62610","are apparently",15
"62611","are awful",15
"62612","are because",15
"62613","are behind",15
"62614","are black",15
"62615","are deeply",15
"62616","are dont",15
"62617","are engaged",15
"62618","are every",15
"62619","are exactly",15
"62620","are fabulous",15
"62621","are fake",15
"62622","are greatly",15
"62623","are hungry",15
"62624","are leading",15
"62625","are legit",15
"62626","are little",15
"62627","are overrated",15
"62628","are prepared",15
"62629","are protected",15
"62630","are sad",15
"62631","are similar",15
"62632","are sleeping",15
"62633","are white",15
"62634","are wondering",15
"62635","area come",15
"62636","area if",15
"62637","arent always",15
"62638","around ish",15
"62639","around just",15
"62640","around someone",15
"62641","around these",15
"62642","array of",15
"62643","arrival of",15
"62644","art festival",15
"62645","article today",15
"62646","artists at",15
"62647","arts education",15
"62648","as charged",15
"62649","as god",15
"62650","as how",15
"62651","as seen",15
"62652","ash wednesday",15
"62653","ashley and",15
"62654","ask god",15
"62655","ask myself",15
"62656","asleep so",15
"62657","ass chick",15
"62658","ass was",15
"62659","ass when",15
"62660","asshole and",15
"62661","assuming that",15
"62662","at apple",15
"62663","at applebees",15
"62664","at chess",15
"62665","at christmas",15
"62666","at dc",15
"62667","at fort",15
"62668","at have",15
"62669","at joes",15
"62670","at mad",15
"62671","at miami",15
"62672","at mile",15
"62673","at mt",15
"62674","at oclock",15
"62675","at please",15
"62676","at pool",15
"62677","at sla",15
"62678","at sports",15
"62679","at stake",15
"62680","at sxswi",15
"62681","at thats",15
"62682","at turner",15
"62683","at ut",15
"62684","at uva",15
"62685","at uw",15
"62686","at western",15
"62687","at world",15
"62688","attacking the",15
"62689","attention but",15
"62690","attention for",15
"62691","attributed to",15
"62692","audience at",15
"62693","audience for",15
"62694","austin city",15
"62695","austin would",15
"62696","austins concert",15
"62697","avoiding the",15
"62698","awards and",15
"62699","awareness day",15
"62700","away just",15
"62701","away that",15
"62702","away will",15
"62703","awe thank",15
"62704","awesome feeling",15
"62705","awesome thx",15
"62706","awhile and",15
"62707","awkward lol",15
"62708","aww love",15
"62709","b at",15
"62710","b he",15
"62711","b up",15
"62712","babe you",15
"62713","baby at",15
"62714","baby brother",15
"62715","baby the",15
"62716","back can",15
"62717","back dont",15
"62718","back have",15
"62719","back he",15
"62720","back lets",15
"62721","back u",15
"62722","back x",15
"62723","back yet",15
"62724","bacon bacon",15
"62725","bad experience",15
"62726","bad relationship",15
"62727","bad she",15
"62728","badge for",15
"62729","bagels and",15
"62730","bakery coffee",15
"62731","ball from",15
"62732","ball over",15
"62733","ball rolling",15
"62734","ball was",15
"62735","baltimore md",15
"62736","banana and",15
"62737","band has",15
"62738","band perry",15
"62739","bands at",15
"62740","banging on",15
"62741","banks are",15
"62742","bar of",15
"62743","barrage of",15
"62744","base camp",15
"62745","base for",15
"62746","basically i",15
"62747","basics of",15
"62748","bath body",15
"62749","bay is",15
"62750","bbq for",15
"62751","bday celebration",15
"62752","be addicted",15
"62753","be alot",15
"62754","be always",15
"62755","be beat",15
"62756","be bigger",15
"62757","be brave",15
"62758","be built",15
"62759","be buried",15
"62760","be completed",15
"62761","be delighted",15
"62762","be doin",15
"62763","be dumb",15
"62764","be exposed",15
"62765","be extremely",15
"62766","be fucked",15
"62767","be gentle",15
"62768","be officially",15
"62769","be relevant",15
"62770","be reunited",15
"62771","be ridiculous",15
"62772","be riding",15
"62773","be rolling",15
"62774","be sunny",15
"62775","be supporting",15
"62776","be throwing",15
"62777","be two",15
"62778","bears are",15
"62779","bears fans",15
"62780","beat out",15
"62781","beat to",15
"62782","beat yo",15
"62783","beats by",15
"62784","beautiful hope",15
"62785","beautiful im",15
"62786","beautiful love",15
"62787","beauty bar",15
"62788","because even",15
"62789","because now",15
"62790","bed my",15
"62791","bed yet",15
"62792","been announced",15
"62793","been charged",15
"62794","been crying",15
"62795","been hiding",15
"62796","been holding",15
"62797","been known",15
"62798","been lost",15
"62799","been nominated",15
"62800","been ok",15
"62801","been replaced",15
"62802","beer but",15
"62803","beers on",15
"62804","before all",15
"62805","before everyone",15
"62806","before graduation",15
"62807","before hitting",15
"62808","before in",15
"62809","before starting",15
"62810","before their",15
"62811","before too",15
"62812","before what",15
"62813","before when",15
"62814","beginning but",15
"62815","begun to",15
"62816","behind her",15
"62817","being is",15
"62818","being like",15
"62819","being offered",15
"62820","beings having",15
"62821","beliebers and",15
"62822","believe god",15
"62823","besides you",15
"62824","best actress",15
"62825","best chicken",15
"62826","best coffee",15
"62827","best quality",15
"62828","best thank",15
"62829","best u",15
"62830","bet awards",15
"62831","bet not",15
"62832","better haha",15
"62833","better question",15
"62834","better use",15
"62835","beyond belief",15
"62836","beyond that",15
"62837","bicycle to",15
"62838","bid for",15
"62839","bieber to",15
"62840","big bad",15
"62841","big business",15
"62842","big family",15
"62843","big fuck",15
"62844","big macs",15
"62845","big your",15
"62846","bill of",15
"62847","billion people",15
"62848","billy joel",15
"62849","bio and",15
"62850","bio i",15
"62851","bird i",15
"62852","birds in",15
"62853","birthday celebration",15
"62854","birthday dear",15
"62855","birthday if",15
"62856","birthday shoutout",15
"62857","bit as",15
"62858","bit by",15
"62859","bit off",15
"62860","bitch was",15
"62861","black guys",15
"62862","black hair",15
"62863","black power",15
"62864","black sheep",15
"62865","blade runner",15
"62866","blanket and",15
"62867","bless her",15
"62868","blew the",15
"62869","block from",15
"62870","block is",15
"62871","blog im",15
"62872","blog or",15
"62873","blog today",15
"62874","blue jeans",15
"62875","blues on",15
"62876","board is",15
"62877","board on",15
"62878","body feels",15
"62879","body parts",15
"62880","body that",15
"62881","body wash",15
"62882","bold statement",15
"62883","bomb threat",15
"62884","bonding time",15
"62885","boobs and",15
"62886","boogie nights",15
"62887","book award",15
"62888","book launch",15
"62889","book yet",15
"62890","bored but",15
"62891","bored to",15
"62892","born a",15
"62893","borrow money",15
"62894","bot followers",15
"62895","both just",15
"62896","both our",15
"62897","both worlds",15
"62898","bothered by",15
"62899","bottles on",15
"62900","bought myself",15
"62901","bought two",15
"62902","bound with",15
"62903","bout him",15
"62904","bowl party",15
"62905","box set",15
"62906","box with",15
"62907","boy saying",15
"62908","boy thats",15
"62909","boyz like",15
"62910","bra i",15
"62911","brad paisley",15
"62912","braving the",15
"62913","break of",15
"62914","breakfast lunch",15
"62915","breakfast sandwich",15
"62916","breath is",15
"62917","breathe out",15
"62918","brewer game",15
"62919","bridge is",15
"62920","bright future",15
"62921","bright lights",15
"62922","brighten up",15
"62923","bring more",15
"62924","bring this",15
"62925","bring yo",15
"62926","bringing us",15
"62927","bringing your",15
"62928","bro thats",15
"62929","broke her",15
"62930","broken but",15
"62931","brother has",15
"62932","brought on",15
"62933","bruins game",15
"62934","brussel sprouts",15
"62935","btw is",15
"62936","btw we",15
"62937","bubba watson",15
"62938","buffalo bills",15
"62939","bugging me",15
"62940","bugs are",15
"62941","build on",15
"62942","building as",15
"62943","bullet for",15
"62944","bulls win",15
"62945","bummer but",15
"62946","burger night",15
"62947","burn off",15
"62948","burning my",15
"62949","business development",15
"62950","business if",15
"62951","busy trying",15
"62952","but anyone",15
"62953","but few",15
"62954","but kinda",15
"62955","but listen",15
"62956","but must",15
"62957","but new",15
"62958","but overall",15
"62959","but real",15
"62960","but sadly",15
"62961","but yall",15
"62962","button please",15
"62963","button that",15
"62964","buying you",15
"62965","buzzer beater",15
"62966","by big",15
"62967","by letting",15
"62968","by of",15
"62969","by only",15
"62970","by percent",15
"62971","by popular",15
"62972","by quick",15
"62973","by rob",15
"62974","by robert",15
"62975","by searching",15
"62976","by side",15
"62977","by talking",15
"62978","by tom",15
"62979","by were",15
"62980","bye twitter",15
"62981","c lol",15
"62982","cain is",15
"62983","cake at",15
"62984","caliente resorts",15
"62985","california is",15
"62986","call about",15
"62987","call ahead",15
"62988","called on",15
"62989","calls him",15
"62990","calls with",15
"62991","came as",15
"62992","came first",15
"62993","camp at",15
"62994","can can",15
"62995","can carry",15
"62996","can chill",15
"62997","can expect",15
"62998","can focus",15
"62999","can hope",15
"63000","can include",15
"63001","can possibly",15
"63002","can prevent",15
"63003","can respect",15
"63004","can serve",15
"63005","can shop",15
"63006","can shut",15
"63007","can then",15
"63008","canada and",15
"63009","candy bars",15
"63010","candyswipe free",15
"63011","cant fight",15
"63012","cant recall",15
"63013","cant resist",15
"63014","cant sell",15
"63015","cant sit",15
"63016","cant type",15
"63017","caps lock",15
"63018","car a",15
"63019","car battery",15
"63020","career i",15
"63021","carlos gomez",15
"63022","casa de",15
"63023","case scenario",15
"63024","cash money",15
"63025","cast members",15
"63026","cat was",15
"63027","cause someone",15
"63028","cause then",15
"63029","cd with",15
"63030","celebrate in",15
"63031","central and",15
"63032","certainly the",15
"63033","certainly will",15
"63034","certificate to",15
"63035","challenges of",15
"63036","chance on",15
"63037","change like",15
"63038","change me",15
"63039","change youre",15
"63040","changing lives",15
"63041","channel at",15
"63042","channel has",15
"63043","charleston sc",15
"63044","charm city",15
"63045","chasing a",15
"63046","chasing my",15
"63047","chat more",15
"63048","check yourself",15
"63049","checking to",15
"63050","checking your",15
"63051","cherry blossom",15
"63052","cherry blossoms",15
"63053","cherry on",15
"63054","chewing on",15
"63055","chick she",15
"63056","chicken in",15
"63057","chicken pizza",15
"63058","chili cookoff",15
"63059","chilling and",15
"63060","chilling at",15
"63061","chilly day",15
"63062","chime in",15
"63063","chip kelly",15
"63064","chipper jones",15
"63065","chocolate bar",15
"63066","chocolate pudding",15
"63067","choose me",15
"63068","christian church",15
"63069","church lol",15
"63070","circle is",15
"63071","citizen of",15
"63072","city vs",15
"63073","city walk",15
"63074","city what",15
"63075","claims to",15
"63076","class next",15
"63077","class together",15
"63078","class warfare",15
"63079","classes on",15
"63080","classes tomorrow",15
"63081","classic i",15
"63082","classified as",15
"63083","cleveland for",15
"63084","cleveland park",15
"63085","client to",15
"63086","clip from",15
"63087","close on",15
"63088","close together",15
"63089","cloud storage",15
"63090","club today",15
"63091","clubs and",15
"63092","cm punk",15
"63093","coach to",15
"63094","coco lounge",15
